[167.15, 159.19000000000003, 159.19000000000003, 159.19000000000003, 167.15]	Average:162.37400000000002
[167.15, 167.15, 167.15, 159.19000000000003, 167.15]	Average:165.55800000000002
[167.15, 167.15, 167.15, 167.15, 159.19000000000003]	Average:165.55800000000002
[167.15, 167.15, 167.15, 167.15, 159.19000000000003]	Average:165.55800000000002
[167.15, 159.19000000000003, 167.15, 167.15, 159.19000000000003]	Average:163.966
[167.15, 167.15, 167.15, 167.15, 159.19000000000003]	Average:165.55800000000002
[167.15, 167.15, 167.15, 167.15, 167.15]	Average:167.15
[167.15, 167.15, 167.15, 159.19000000000003, 167.15]	Average:165.55800000000002
[159.19000000000003, 159.19000000000003, 159.19000000000003, 167.15, 167.15]	Average:162.374
[167.15, 175.10999999999999, 167.15, 167.15, 167.15]	Average:168.742
[159.19000000000003, 159.19000000000003, 167.15, 159.19000000000003, 167.15]	Average:162.37400000000002
[159.19000000000003, 159.19000000000003, 167.15, 167.15, 167.15]	Average:163.966
[167.15, 159.19000000000003, 167.15, 159.19000000000003, 167.15]	Average:163.966
[167.15, 167.15, 167.15, 159.19000000000003, 167.15]	Average:165.55800000000002
[167.15, 167.15, 167.15, 167.15, 159.19000000000003]	Average:165.55800000000002
[167.15, 167.15, 167.15, 167.15, 167.15]	Average:167.15
[167.15, 167.15, 167.15, 167.15, 167.15]	Average:167.15
[167.15, 167.15, 167.15, 159.19000000000003, 167.15]	Average:165.55800000000002
[159.19000000000003, 167.15, 167.15, 167.15, 167.15]	Average:165.558
[167.15, 167.15, 167.15, 167.15, 159.19000000000003]	Average:165.55800000000002
[167.15, 167.15, 167.15, 167.15, 167.15]	Average:167.15
[167.15, 167.15, 167.15, 167.15, 175.10999999999999]	Average:168.74200000000002
[167.15, 167.15, 167.15, 167.15, 159.19000000000003]	Average:165.55800000000002
[167.15, 167.15, 167.15, 167.15, 167.15]	Average:167.15
[175.10999999999999, 167.15, 159.19000000000003, 167.15, 167.15]	Average:167.15
[167.15, 159.19000000000003, 159.19000000000003, 167.15, 167.15]	Average:163.966
[167.15, 167.15, 167.15, 167.15, 159.19000000000003]	Average:165.55800000000002
[167.15, 167.15, 167.15, 167.15, 159.19000000000003]	Average:165.55800000000002
[167.15, 167.15, 167.15, 167.15, 159.19000000000003]	Average:165.55800000000002
[159.19000000000003, 159.19000000000003, 167.15, 159.19000000000003, 167.15]	Average:162.37400000000002
[159.19000000000003, 159.19000000000003, 175.10999999999999, 167.15, 159.19000000000003]	Average:163.966
[167.15, 167.15, 167.15, 167.15, 167.15]	Average:167.15
[167.15, 167.15, 167.15, 167.15, 167.15]	Average:167.15
[159.19000000000003, 167.15, 167.15, 167.15, 167.15]	Average:165.558
[167.15, 167.15, 167.15, 167.15, 167.15]	Average:167.15
[167.15, 167.15, 167.15, 167.15, 167.15]	Average:167.15
[159.19000000000003, 167.15, 167.15, 167.15, 167.15]	Average:165.558
[159.19000000000003, 167.15, 167.15, 167.15, 167.15]	Average:165.558
[167.15, 167.15, 167.15, 167.15, 167.15]	Average:167.15
[167.15, 167.15, 167.15, 167.15, 167.15]	Average:167.15
[167.15, 167.15, 167.15, 167.15, 167.15]	Average:167.15
[167.15, 167.15, 159.19000000000003, 167.15, 175.10999999999999]	Average:167.15
[167.15, 159.19000000000003, 167.15, 167.15, 175.10999999999999]	Average:167.15
[167.15, 167.15, 159.19000000000003, 167.15, 159.19000000000003]	Average:163.966
[167.15, 167.15, 167.15, 167.15, 167.15]	Average:167.15
[167.15, 167.15, 159.19000000000003, 167.15, 167.15]	Average:165.558
[167.15, 167.15, 167.15, 167.15, 159.19000000000003]	Average:165.55800000000002
[167.15, 167.15, 159.19000000000003, 167.15, 159.19000000000003]	Average:163.966
[167.15, 167.15, 167.15, 167.15, 167.15]	Average:167.15
[167.15, 167.15, 159.19000000000003, 167.15, 159.19000000000003]	Average:163.966
[167.15, 167.15, 167.15, 159.19000000000003, 167.15]	Average:165.55800000000002
[159.19000000000003, 167.15, 167.15, 159.19000000000003, 167.15]	Average:163.966
[167.15, 167.15, 175.10999999999999, 167.15, 159.19000000000003]	Average:167.15
[159.19000000000003, 159.19000000000003, 167.15, 167.15, 159.19000000000003]	Average:162.37400000000002
[167.15, 175.10999999999999, 175.10999999999999, 167.15, 159.19000000000003]	Average:168.74200000000002
[167.15, 167.15, 175.10999999999999, 159.19000000000003, 167.15]	Average:167.15
[167.15, 167.15, 167.15, 167.15, 167.15]	Average:167.15
[167.15, 167.15, 167.15, 167.15, 167.15]	Average:167.15
[167.15, 167.15, 167.15, 167.15, 167.15]	Average:167.15
[159.19000000000003, 159.19000000000003, 159.19000000000003, 159.19000000000003, 167.15]	Average:160.782
[167.15, 167.15, 167.15, 159.19000000000003, 167.15]	Average:165.55800000000002
[167.15, 167.15, 167.15, 167.15, 167.15]	Average:167.15
[167.15, 167.15, 167.15, 167.15, 167.15]	Average:167.15
[159.19000000000003, 159.19000000000003, 167.15, 167.15, 167.15]	Average:163.966
[167.15, 167.15, 159.19000000000003, 167.15, 167.15]	Average:165.558
[167.15, 167.15, 167.15, 159.19000000000003, 167.15]	Average:165.55800000000002
[159.19000000000003, 159.19000000000003, 159.19000000000003, 167.15, 167.15]	Average:162.374
[159.19000000000003, 159.19000000000003, 159.19000000000003, 159.19000000000003, 167.15]	Average:160.782
[159.19000000000003, 159.19000000000003, 167.15, 167.15, 159.19000000000003]	Average:162.37400000000002
[167.15, 167.15, 167.15, 167.15, 159.19000000000003]	Average:165.55800000000002
[159.19000000000003, 159.19000000000003, 167.15, 167.15, 167.15]	Average:163.966
[167.15, 167.15, 159.19000000000003, 159.19000000000003, 167.15]	Average:163.966
[167.15, 167.15, 159.19000000000003, 159.19000000000003, 159.19000000000003]	Average:162.37400000000002
[159.19000000000003, 159.19000000000003, 167.15, 159.19000000000003, 167.15]	Average:162.37400000000002
[167.15, 167.15, 167.15, 167.15, 167.15]	Average:167.15
[167.15, 159.19000000000003, 167.15, 167.15, 159.19000000000003]	Average:163.966
[159.19000000000003, 167.15, 167.15, 167.15, 159.19000000000003]	Average:163.966
[159.19000000000003, 167.15, 175.10999999999999, 167.15, 167.15]	Average:167.15
[175.10999999999999, 167.15, 167.15, 167.15, 167.15]	Average:168.742
[167.15, 167.15, 167.15, 159.19000000000003, 167.15]	Average:165.55800000000002
[167.15, 167.15, 167.15, 167.15, 167.15]	Average:167.15
[159.19000000000003, 167.15, 167.15, 167.15, 167.15]	Average:165.558
[167.15, 167.15, 167.15, 167.15, 167.15]	Average:167.15
[167.15, 167.15, 167.15, 167.15, 167.15]	Average:167.15
[167.15, 167.15, 159.19000000000003, 159.19000000000003, 167.15]	Average:163.966
[167.15, 175.10999999999999, 167.15, 167.15, 167.15]	Average:168.742
[167.15, 159.19000000000003, 167.15, 167.15, 167.15]	Average:165.558
[167.15, 159.19000000000003, 175.10999999999999, 167.15, 167.15]	Average:167.15
[167.15, 167.15, 159.19000000000003, 159.19000000000003, 167.15]	Average:163.966
[167.15, 167.15, 167.15, 175.10999999999999, 167.15]	Average:168.74200000000002
[167.15, 159.19000000000003, 167.15, 167.15, 167.15]	Average:165.558
[159.19000000000003, 159.19000000000003, 167.15, 159.19000000000003, 167.15]	Average:162.37400000000002
[167.15, 167.15, 167.15, 167.15, 167.15]	Average:167.15
[167.15, 159.19000000000003, 167.15, 167.15, 167.15]	Average:165.558
[167.15, 159.19000000000003, 159.19000000000003, 159.19000000000003, 159.19000000000003]	Average:160.78200000000004
[167.15, 167.15, 167.15, 167.15, 167.15]	Average:167.15
[167.15, 167.15, 167.15, 167.15, 167.15]	Average:167.15
[167.15, 167.15, 167.15, 159.19000000000003, 159.19000000000003]	Average:163.96600000000004
[167.15, 167.15, 167.15, 167.15, 159.19000000000003]	Average:165.55800000000002
[167.15, 167.15, 159.19000000000003, 167.15, 167.15]	Average:165.558
[175.10999999999999, 167.15, 167.15, 167.15, 175.10999999999999]	Average:170.334
[167.15, 167.15, 159.19000000000003, 167.15, 159.19000000000003]	Average:163.966
[167.15, 167.15, 167.15, 159.19000000000003, 167.15]	Average:165.55800000000002
[159.19000000000003, 167.15, 167.15, 167.15, 167.15]	Average:165.558
[167.15, 167.15, 167.15, 167.15, 167.15]	Average:167.15
[159.19000000000003, 159.19000000000003, 167.15, 159.19000000000003, 167.15]	Average:162.37400000000002
[159.19000000000003, 159.19000000000003, 167.15, 167.15, 167.15]	Average:163.966
[159.19000000000003, 167.15, 159.19000000000003, 167.15, 167.15]	Average:163.966
[159.19000000000003, 167.15, 167.15, 159.19000000000003, 167.15]	Average:163.966
[167.15, 167.15, 167.15, 167.15, 167.15]	Average:167.15
[175.10999999999999, 167.15, 167.15, 167.15, 167.15]	Average:168.742
[159.19000000000003, 167.15, 167.15, 159.19000000000003, 167.15]	Average:163.966
[159.19000000000003, 167.15, 159.19000000000003, 167.15, 167.15]	Average:163.966
[167.15, 167.15, 167.15, 167.15, 159.19000000000003]	Average:165.55800000000002
[159.19000000000003, 159.19000000000003, 167.15, 167.15, 167.15]	Average:163.966
[167.15, 167.15, 167.15, 167.15, 167.15]	Average:167.15
[159.19000000000003, 167.15, 167.15, 167.15, 175.10999999999999]	Average:167.15
[167.15, 159.19000000000003, 175.10999999999999, 175.10999999999999, 167.15]	Average:168.74200000000002
[159.19000000000003, 159.19000000000003, 167.15, 167.15, 167.15]	Average:163.966
[159.19000000000003, 159.19000000000003, 167.15, 167.15, 167.15]	Average:163.966
[167.15, 167.15, 159.19000000000003, 167.15, 175.10999999999999]	Average:167.15
[167.15, 175.10999999999999, 167.15, 175.10999999999999, 175.10999999999999]	Average:171.926
[167.15, 159.19000000000003, 167.15, 159.19000000000003, 167.15]	Average:163.966
[159.19000000000003, 167.15, 159.19000000000003, 167.15, 159.19000000000003]	Average:162.37400000000002
[167.15, 167.15, 159.19000000000003, 167.15, 167.15]	Average:165.558
[167.15, 167.15, 167.15, 159.19000000000003, 159.19000000000003]	Average:163.96600000000004
[167.15, 167.15, 167.15, 167.15, 159.19000000000003]	Average:165.55800000000002
[167.15, 159.19000000000003, 159.19000000000003, 159.19000000000003, 159.19000000000003]	Average:160.78200000000004
[167.15, 167.15, 167.15, 159.19000000000003, 167.15]	Average:165.55800000000002
[167.15, 167.15, 167.15, 167.15, 159.19000000000003]	Average:165.55800000000002
[167.15, 167.15, 167.15, 167.15, 159.19000000000003]	Average:165.55800000000002
[167.15, 167.15, 167.15, 159.19000000000003, 167.15]	Average:165.55800000000002
[167.15, 167.15, 167.15, 167.15, 159.19000000000003]	Average:165.55800000000002
[167.15, 159.19000000000003, 167.15, 167.15, 167.15]	Average:165.558
[159.19000000000003, 167.15, 159.19000000000003, 167.15, 159.19000000000003]	Average:162.37400000000002
[167.15, 167.15, 167.15, 167.15, 167.15]	Average:167.15
[175.10999999999999, 167.15, 167.15, 167.15, 167.15]	Average:168.742
[167.15, 167.15, 159.19000000000003, 167.15, 159.19000000000003]	Average:163.966
[167.15, 159.19000000000003, 159.19000000000003, 159.19000000000003, 167.15]	Average:162.37400000000002
[167.15, 159.19000000000003, 159.19000000000003, 159.19000000000003, 167.15]	Average:162.37400000000002
[167.15, 159.19000000000003, 167.15, 167.15, 167.15]	Average:165.558
[167.15, 159.19000000000003, 159.19000000000003, 167.15, 167.15]	Average:163.966
[159.19000000000003, 167.15, 175.10999999999999, 159.19000000000003, 159.19000000000003]	Average:163.96600000000004
[167.15, 159.19000000000003, 159.19000000000003, 167.15, 167.15]	Average:163.966
[159.19000000000003, 167.15, 159.19000000000003, 159.19000000000003, 167.15]	Average:162.37400000000002
[167.15, 167.15, 167.15, 167.15, 167.15]	Average:167.15
[167.15, 167.15, 167.15, 159.19000000000003, 159.19000000000003]	Average:163.96600000000004
[167.15, 167.15, 167.15, 167.15, 167.15]	Average:167.15
[167.15, 167.15, 167.15, 167.15, 167.15]	Average:167.15
[167.15, 167.15, 159.19000000000003, 167.15, 175.10999999999999]	Average:167.15
[167.15, 167.15, 167.15, 159.19000000000003, 167.15]	Average:165.55800000000002
[167.15, 167.15, 167.15, 167.15, 167.15]	Average:167.15
[159.19000000000003, 167.15, 167.15, 159.19000000000003, 167.15]	Average:163.966
[167.15, 167.15, 167.15, 175.10999999999999, 167.15]	Average:168.74200000000002
